#bestFitness averageFitness averageUsedGeneLength time invalids varFitness aveLength aveDerivationTreeDepth SlopeMutRate
76.78325248 25972.8110294322 12.620289855072464 1018 55 2.1327553939262067E11 200.0 3.739130434782609 0.0
76.78325248 482.7994475345698 8.72 651 0 25825.915936177575 200.0 3.2325 0.0
13.597972479999994 397.9404246154214 7.37 171 0 18578.908012708718 200.0 3.0825 0.0
10.00789248000002 330.5917991894693 9.81 123 0 19895.83104134434 200.0 3.565 0.0
10.00789248000002 257.9485851223849 12.55 192 0 20525.89793050101 200.0 4.225 0.0
9.145492479999994 194.64871313147393 15.87 116 0 19009.785121737394 200.0 4.87 0.01
5.7762124800000105 133.6916016902008 19.43 92 0 12066.85969509632 200.0 5.5025 0.01
5.7762124800000105 101.31032875788547 22.83 79 0 10805.672135590918 200.0 6.1675 0.01
4.411732479999996 80.45340223441252 24.57 73 0 6923.327953224706 200.0 6.46 0.01
4.411732479999996 73.16724927887951 25.27 119 0 10299.50864009415 200.0 6.575 0.01
3.2926924799999933 83.11219744481058 26.43 102 0 21927.021527174773 200.0 6.9425 0.01
3.2926924799999933 64.6752373698485 27.21 66 0 10204.65899689819 200.0 7.21 0.01
3.2926924799999933 88.59574209169216 27.6 72 0 31661.8876922771 200.0 7.3025 0.01
3.944304526105059E-30 66.95048069254597 27.17 64 0 17028.385850430674 200.0 7.2975 0.01
3.944304526105059E-30 53.701594784755045 27.34 58 0 12256.472177913829 200.0 7.24 0.01
3.944304526105059E-30 59.99164483617719 25.58 45 0 15886.369219843658 200.0 6.96 0.01
3.944304526105059E-30 55.83853951337776 24.2 40 0 15195.124397120639 200.0 6.825 0.01
3.944304526105059E-30 42.57933845097198 23.8 45 0 8134.463765376644 200.0 6.735 0.01
3.944304526105059E-30 31.405328326039175 22.03 31 0 4536.438365757549 200.0 6.6625 0.02
3.944304526105059E-30 48.49020946071363 22.99 34 0 16506.870391266777 200.0 6.86 0.03
3.944304526105059E-30 31.132968709857188 23.84 31 0 5349.954472757218 200.0 7.1025 0.04
3.944304526105059E-30 49.66875410663923 26.03 46 0 15297.369947844989 200.0 7.415 0.05
3.944304526105059E-30 64.13742189785773 28.74 56 0 23604.645522606937 200.0 7.7925 0.060000000000000005
3.944304526105059E-30 43.14240554483613 28.71 61 0 7770.647887375579 200.0 7.835 0.07
3.944304526105059E-30 71.63030828117991 29.97 91 0 24310.548073896385 200.0 7.98 0.08
3.944304526105059E-30 74.00037492109857 31.85 64 0 27106.896983161216 200.0 8.2075 0.09
3.944304526105059E-30 91.06198989824406 33.4 55 0 36181.37956551589 200.0 8.3325 0.09999999999999999
3.944304526105059E-30 81.7352412975402 32.39 41 0 34716.84373094682 200.0 8.2375 0.10999999999999999
3.944304526105059E-30 69.87557560474775 32.09 41 0 22042.233246178555 200.0 8.215 0.11999999999999998
3.944304526105059E-30 82.28536797193645 34.28 44 0 32255.445315874247 200.0 8.425 0.12999999999999998
3.944304526105059E-30 110.38616071090551 35.06 49 0 64628.467777045356 200.0 8.41 0.13999999999999999
3.944304526105059E-30 75.20924928182069 33.5 40 0 23113.72622392982 200.0 8.2875 0.15
3.944304526105059E-30 63.69461152495696 34.53 29 0 19023.163131152432 200.0 8.455 0.16
3.944304526105059E-30 79.47074771487554 33.96 33 0 32077.535810542122 200.0 8.3525 0.17
3.944304526105059E-30 85.7818056839073 33.77 23 0 36978.0296728327 200.0 8.295 0.18000000000000002
3.944304526105059E-30 65.81131401845825 34.48 26 0 18122.48046767679 200.0 8.4575 0.19000000000000003
3.944304526105059E-30 74.05022903560884 35.07 32 0 24193.562040781573 200.0 8.5325 0.20000000000000004
3.944304526105059E-30 82.77142232777591 36.5 38 0 24472.64060206928 200.0 8.71 0.21000000000000005
3.944304526105059E-30 129.68548410352778 36.39 60 0 93845.0790032328 200.0 8.6525 0.22000000000000006
3.944304526105059E-30 73.71815778089311 35.56 64 0 21739.791539787144 200.0 8.6025 0.23000000000000007
3.944304526105059E-30 83.82212857849171 36.8 67 0 27825.17251307151 200.0 8.735 0.24000000000000007
3.944304526105059E-30 91.445942279407 37.76 69 0 38860.95946519859 200.0 8.8425 0.25000000000000006
3.944304526105059E-30 65.49334367092634 36.97 35 0 18448.22445571113 200.0 8.83 0.26000000000000006
3.944304526105059E-30 87.11609342364258 37.51 31 0 36159.286084976215 200.0 8.855 0.2700000000000001
3.944304526105059E-30 81.06564412921398 37.54 35 0 28951.27564656769 200.0 8.78 0.2800000000000001
3.944304526105059E-30 81.92340179793005 35.45 28 0 32823.55587002796 200.0 8.6 0.2900000000000001
3.944304526105059E-30 94.84351395792892 35.76 28 0 35517.171400131025 200.0 8.6175 0.3000000000000001
3.944304526105059E-30 82.03850842520029 36.91 34 0 22890.13428877499 200.0 8.6575 0.3100000000000001
3.944304526105059E-30 89.69370377283113 35.66 39 0 31645.31154954541 200.0 8.4975 0.3200000000000001
3.944304526105059E-30 83.537836811325 36.85 37 0 28334.148960834937 200.0 8.66 0.3300000000000001
3.944304526105059E-30 82.12635525938056 36.4 35 0 37983.643419487926 200.0 8.575 0.34000000000000014
3.944304526105059E-30 85.9786700876718 34.81 30 0 31255.164677296303 200.0 8.4275 0.35000000000000014
3.944304526105059E-30 86.57857180835795 35.04 37 0 37135.143424648486 200.0 8.445 0.36000000000000015
3.944304526105059E-30 70.9271548568845 34.66 29 0 19364.649072041866 200.0 8.3825 0.37000000000000016
3.944304526105059E-30 48.39639507981133 34.88 26 0 10430.077794502678 200.0 8.435 0.38000000000000017
3.944304526105059E-30 65.23773517143002 35.6 35 0 21143.40349503816 200.0 8.5775 0.3900000000000002
3.944304526105059E-30 69.51756983956136 36.4 31 0 23508.28116969486 200.0 8.6725 0.4000000000000002
3.944304526105059E-30 89.53055176200742 35.16 20 0 43499.13340924434 200.0 8.54 0.4100000000000002
3.944304526105059E-30 80.58067791769126 35.71 27 0 26867.427988892636 200.0 8.5975 0.4200000000000002
3.944304526105059E-30 99.68967933165935 35.79 20 0 40321.36638433772 200.0 8.6 0.4300000000000002
3.944304526105059E-30 89.79480949790481 36.34 30 0 34657.04278467216 200.0 8.61 0.4400000000000002
3.944304526105059E-30 68.47958373330583 33.15 23 0 23932.148415106316 200.0 8.3825 0.45000000000000023
3.944304526105059E-30 68.72710202022122 34.44 19 0 17753.79079320355 200.0 8.485 0.46000000000000024
3.944304526105059E-30 83.35155086444097 36.64 25 0 29153.543872750415 200.0 8.6775 0.47000000000000025
3.944304526105059E-30 96.54386191707945 35.58 28 0 47175.09507863446 200.0 8.595 0.48000000000000026
3.944304526105059E-30 72.38077337647222 38.47 29 0 21293.777922905963 200.0 8.9275 0.49000000000000027
3.944304526105059E-30 86.77000189436514 39.18 23 0 28676.592313847803 200.0 9.025 0.5000000000000002
3.944304526105059E-30 87.76936373116276 40.3 26 0 33351.01310505285 200.0 9.1775 0.5100000000000002
3.944304526105059E-30 92.84651304346731 39.47 26 0 35186.608174687426 200.0 9.1025 0.5200000000000002
3.944304526105059E-30 78.96509155440853 38.01 27 0 25911.66820154091 200.0 8.985 0.5300000000000002
3.944304526105059E-30 74.56602586859034 36.81 23 0 19353.119875517295 200.0 8.865 0.5400000000000003
3.944304526105059E-30 118.55036419282774 38.56 25 0 97499.30018639969 200.0 8.8675 0.5500000000000003
3.944304526105059E-30 87.35261872939068 37.27 28 0 29703.77490654415 200.0 8.73 0.5600000000000003
3.944304526105059E-30 93.11736964761016 36.47 34 0 31380.996731225485 200.0 8.67 0.5700000000000003
3.944304526105059E-30 79.89251474758606 37.9 32 0 29230.641216346252 200.0 8.8775 0.5800000000000003
3.944304526105059E-30 87.12957900316752 38.77 33 0 43924.19646641685 200.0 8.9775 0.5900000000000003
3.944304526105059E-30 107.11708079038618 38.31 26 0 67295.41553029997 200.0 8.8925 0.6000000000000003
3.944304526105059E-30 77.72361460010568 37.08 28 0 26795.308039812022 200.0 8.77 0.6100000000000003
3.944304526105059E-30 69.38159371911364 37.92 25 0 20863.012470571513 200.0 8.8675 0.6200000000000003
3.944304526105059E-30 77.56260687763803 39.21 30 0 25574.873476407454 200.0 9.005 0.6300000000000003
